num_training_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
4,2,2,8,0.7987527775000013,1.0,0.7,0.8351266456193521
4,2,2,1,0.7987527775000013,1.0,0.75,0.8347898019024649
4,2,2,10,0.7987527775000013,1.0,0.05,0.8347790783314816
4,2,2,3,0.7987527775000013,1.0,0.85,0.8345647037058921
4,2,2,10,0.7987527775000013,1.0,0.75,0.8344293569591777
4,2,2,2,0.7987527775000013,1.0,0.55,0.8343042547238263
4,2,2,9,0.7987527775000013,1.0,0.75,0.834241840419777
4,2,2,4,0.7987527775000013,1.0,0.55,0.8340930812875988
3,2,2,1,1.0,1.0,0.95,0.8339404147990513
3,2,2,1,1.0,1.0,0.35,0.8339072712480531
4,2,2,1,0.7987527775000013,1.0,0.8,0.8338260650995596
4,2,2,3,0.7987527775000013,1.0,0.75,0.8336256553181135
3,2,2,3,1.0,1.0,0.5,0.8335962328285903
4,2,2,4,0.7987527775000013,1.0,0.6,0.8334454287541575
4,2,2,8,0.7987527775000013,1.0,0.75,0.8333358031350039
4,2,2,8,0.7987527775000013,1.0,0.8,0.8332552648033646
3,2,2,2,1.0,1.0,0.4,0.8331537168169623
4,2,2,6,0.7987527775000013,1.0,0.55,0.8330657621156892
4,2,2,7,0.7987527775000013,1.0,0.7,0.8330347081692848
4,2,2,3,0.7987527775000013,1.0,0.8,0.8330036369139495
4,2,2,5,0.7987527775000013,1.0,0.5,0.8329633288698967
3,2,2,3,1.0,1.0,0.1,0.8329540393633464
3,2,2,1,1.0,1.0,0.3,0.832900891133317
3,2,2,3,1.0,1.0,0.2,0.8328625700749461
4,2,2,7,0.7987527775000013,1.0,0.6,0.8328347445689624
4,2,2,7,0.7987527775000013,1.0,0.75,0.8327401457548883
3,2,2,1,1.0,1.0,0.1,0.8327115953823764
4,2,2,4,0.7987527775000013,1.0,0.85,0.8327104373489744
4,2,2,4,0.7987527775000013,1.0,0.5,0.8326826882333153
3,2,2,1,1.0,1.0,0.45,0.8326665361369098
4,2,2,8,0.7987527775000013,1.0,0.85,0.8326654147931263
3,2,2,2,1.0,1.0,0.5,0.832645882048857
3,2,2,2,1.0,1.0,0.1,0.8326309070113825
4,2,2,2,0.7987527775000013,1.0,0.75,0.832628144124442
3,2,2,3,1.0,1.0,0.35,0.832575395772121
3,2,2,3,1.0,1.0,0.15,0.8325650425847763
3,2,2,2,1.0,1.0,0.35,0.8325175381158675
3,2,2,1,1.0,1.0,0.4,0.8324912678167297
4,2,2,6,0.7987527775000013,1.0,0.85,0.8324001816151319
4,2,2,9,0.7987527775000013,1.0,1.0,0.8323873587177919
3,2,2,3,1.0,1.0,0.3,0.8323808155403789
3,2,2,1,1.0,1.0,0.5,0.832349310316492
3,2,2,1,1.0,1.0,0.85,0.8322072502124991
4,2,2,9,0.7987527775000013,1.0,0.95,0.8321774519578398
4,2,2,5,0.7987527775000013,1.0,0.6,0.8321470091569269
3,2,2,3,1.0,1.0,0.4,0.8321081192473996
